id,Amenities
0,"WiFi (Paid)"
0,Smoke-free
0,"Guarantors allowed"
0,"Radiator heating"
0,"Laundry in building (paid)"
0,"Street parking"
1,"WiFi (Paid)"
1,Smoke-free
1,"Guarantors allowed"
1,"Radiator heating"
1,"Laundry in building (paid)"
1,"Street parking"
2,"Paid parking"
2,Dishwasher
2,"Radiator heating"
2,"Dining area"
2,Smoke-free
2,"Guarantors allowed"
2,"Laundry in home (free)"
2,Balcony
2,"Living area"
2,"Hardwood floors"
2,Microwave
2,Oven
2,Refrigerator
3,"Dining area"
3,"WiFi (Paid)"
3,Smoke-free
3,"Guarantors allowed"
3,"Laundry in building (paid)"
3,"Street parking"
3,"32-inch Flat-Screen TV"
3,"Radiator heating"
3,Dishwasher
3,"Living area"
3,"Hardwood floors"
3,Microwave
3,Oven
3,Refrigerator
4,"Dining area"
4,"WiFi (Paid)"
4,Smoke-free
4,"Guarantors allowed"
4,"Laundry in building (paid)"
4,"Street parking"
4,"32-inch Flat-Screen TV"
4,"Radiator heating"
4,Dishwasher
4,"Living area"
4,"Hardwood floors"
4,Microwave
4,Oven
4,Refrigerator
5,"Dining area"
5,"WiFi (Paid)"
5,Smoke-free
5,"Guarantors allowed"
5,"Laundry in building (paid)"
5,"Street parking"
5,"32-inch Flat-Screen TV"
5,"Radiator heating"
5,Dishwasher
5,"Living area"
5,"Hardwood floors"
5,Microwave
5,Oven
5,Refrigerator
6,"Laundry in building (paid)"
6,"32-inch Flat-Screen TV"
6,Dishwasher
6,"WiFi (Paid)"
6,Smoke-free
6,"Guarantors allowed"
6,"Radiator heating"
6,"Dine in kitchen"
6,"Living area"
6,"Parking Spot (Paid)"
6,"Hardwood floors"
6,Microwave
6,Oven
6,Refrigerator
7,"Paid parking"
7,Smoke-free
7,"Guarantors allowed"
7,"Laundry in building (paid)"
7,"Dine in kitchen"
7,"Electric heating"
7,"Hardwood floors"
7,Microwave
7,Oven
7,Refrigerator
8,"Paid parking"
8,Dishwasher
8,"Radiator heating"
8,"Dining area"
